2024,2025,2026,year,Location
0,1,0,2024,Alabama
0,4,1,2024,Alaska
5,222,84,2024,Arizona
0,8,0,2024,Arkansas
13,26,47,2024,California
0,35,23,2024,Colorado
0,1,0,2024,Connecticut
0,0,0,2024,Delaware
1,0,1,2024,District of Columbia
11,8,141,2024,Florida
5,10,5,2024,Georgia
0,2,0,2024,Hawaii
0,14,2,2024,Idaho
67,14,4,2024,Illinois
1,10,0,2024,Indiana
0,9,0,2024,Iowa
0,91,1,2024,Kansas
0,13,4,2024,Kentucky
2,3,1,2024,Louisiana
0,0,5,2024,Maine
1,3,3,2024,Maryland
1,0,2,2024,Massachusetts
7,29,13,2024,Michigan
65,26,17,2024,Minnesota
0,0,0,2024,Mississippi
2,6,1,2024,Missouri
0,36,5,2024,Montana
0,5,1,2024,Nebraska
0,2,0,2024,Nevada
2,0,0,2024,New Hampshire
7,12,1,2024,New Jersey
2,100,17,2024,New Mexico
1,26,5,2024,New York
13,15,5,2024,New York City
1,2,22,2024,North Carolina
0,36,38,2024,North Dakota
7,40,11,2024,Ohio
1,17,1,2024,Oklahoma
31,1,23,2024,Oregon
6,16,50,2024,Pennsylvania
0,1,1,2024,Rhode Island
1,333,669,2024,South Carolina
1,16,9,2024,South Dakota
4,8,0,2024,Tennessee
1,803,182,2024,Texas
0,189,486,2024,Utah
1,2,1,2024,Vermont
1,6,90,2024,Virginia
6,11,45,2024,Washington
1,0,0,2024,West Virginia
1,36,2,2024,Wisconsin
0,15,1,2024,Wyoming
