Site,State/Territory,Counties Served,Population Served,Source,05/30/2026,05/23/2026,05/16/2026,05/09/2026,05/02/2026,04/25/2026,Date Updated,PathogenTarget
ID:7,Alabama,Jefferson,200000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2340,Alaska,Fairbanks North Star,92000,"CDC_Verily, State_Territory",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:16,Alaska,Juneau,22000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:15,Alaska,Juneau,12000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:13,Alaska,Anchorage,220000,"State_Territory, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:14,Alaska,Anchorage,23000,"CDC_Verily, State_Territory",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:71,Arkansas,Greene,25000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:68,Arkansas,Benton,19000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:69,Arkansas,Boone,14000,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:81,Arkansas,Pulaski,23812,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:80,Arkansas,Pulaski,30377,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:83,Arkansas,Pulaski,18463,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:70,Arkansas,Garland,38000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:162,California,San Luis Obispo,14465,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:93,California,Alameda,60000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:184,California,Sonoma,237800,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:138,California,Riverside,350000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:130,California,Napa,83300,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:176,California,Santa Clara,1500000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:143,California,San Bernardino,890000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2365,California,Solano,155000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:194,California,Yolo,59000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:114,California,Los Angeles,3500000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:164,California,San Luis Obispo,31037,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2453,California,Madera,60000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:161,California,San Luis Obispo,15000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:112,California,Los Angeles,200000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2347,California,Santa Barbara,97000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:118,California,Marin,104250,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:178,California,Santa Cruz,94000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2199,California,Nevada,13754,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:99,California,Contra Costa,102000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:166,California,San Luis Obispo,39000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:145,California,San Diego,2200000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:186,California,Sonoma,28000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:160,California,San Luis Obispo,6031,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:169,California,San Mateo,27000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:120,California,Marin,30000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:171,California,Santa Barbara,69290,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:126,California,Mono,8200,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:190,California,Ventura,250000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2571,California,Alameda,342000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:92,California,Alameda,229476,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:128,California,Monterey,16000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:101,California,El Dorado,30000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:121,California,Marin,53000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:180,California,"Santa Cruz, Monterey",60000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:147,California,"San Francisco, San Mateo",250000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:187,California,Stanislaus,230000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:170,California,San Mateo,199000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2346,California,El Dorado,125000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2601,California,Alameda,95000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2573,California,Alameda,160000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2572,California,Alameda,150000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:141,California,San Benito,43000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:168,California,San Mateo,150000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:155,California,San Joaquin,68000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:177,California,Santa Cruz,164000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:115,California,"Ventura, Los Angeles",75000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:113,California,"Ventura, Los Angeles",4000000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:188,California,Stanislaus,86000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:139,California,Riverside,91765,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:148,California,"San Francisco, San Mateo",750000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:97,California,Contra Costa,495000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:183,California,Solano,121000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:173,California,Santa Clara,153000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2348,California,Placer,127000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:157,California,San Joaquin,29000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:174,California,Santa Clara,110338,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:127,California,Monterey,262000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:193,California,Yolo,68000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:179,California,Santa Cruz,70000,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:252,Colorado,Pueblo,96514,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:264,Colorado,Weld,83319,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:224,Colorado,El Paso,303855,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:242,Colorado,Mesa,89286,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:198,Colorado,Jefferson,345453,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:223,Colorado,El Paso,102204,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:213,Colorado,Douglas,60571,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:232,Colorado,La Plata,23429,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:195,Colorado,"Arapahoe, Adams",268003,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:199,Colorado,Denver,709904,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:214,Colorado,Douglas,35000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:255,Colorado,San Miguel,15000,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:246,Colorado,Otero,29643,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:229,Colorado,Garfield,16714,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:205,Colorado,Boulder,89383,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:203,Colorado,Arapahoe,247443,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:215,Colorado,Douglas,25000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:260,Colorado,Summit,35643,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:235,Colorado,Larimer,92126,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:201,Colorado,Alamosa,18364,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2364,Colorado,Adams,40071,State_Territory,-,-,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:249,Colorado,Pitkin,5500,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:272,Connecticut,Fairfield,52268,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:270,Connecticut,Fairfield,45878,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:271,Connecticut,Fairfield,72914,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:268,Connecticut,Fairfield,140000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:278,Connecticut,New London,41000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:290,Delaware,Sussex,7000,"State_Territory, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:284,Delaware,Sussex,7000,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:283,Delaware,New Castle,539000,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:281,Delaware,New Castle,17145,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:287,Delaware,Sussex,4392,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:288,Delaware,Sussex,4050,State_Territory,-,-,+,-,-,+,"June 04, 2026 3:40 AM",Measles virus
ID:289,Delaware,Sussex,75000,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
