FullGeoName,Pathogen Target,State/Territory,Counties Served,Location,Population Served,Source,Detection Category,Detection Count,Sample Count,Time Period,Table Time Period,Week End,Date Updated
,Measles virus,North Carolina,"Durham, Orange",Id:1487,"108,105",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Wake,Id:1499,"84,189",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Durham,Id:1461,"142,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Pitt,Id:1489,"89,616",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Carteret,Id:1453,"3,500",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Wake,Id:1501,"550,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Wake,Id:1503,"7,776",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Mecklenburg,Id:1476,"68,685",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Mecklenburg,Id:1479,"120,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Forsyth,Id:1462,"178,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Wake,Id:1502,"30,655",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Washington,Id:1752,"220,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Columbia,Id:2520,"13,739",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Umatilla,Id:1748,"17,500",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Washington,Id:1753,"40,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Washington,Id:1754,"9,900",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Hood River,Id:1728,"7,800",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Clatsop,Id:1720,"11,326",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Oregon,Washington,Id:1755,"40,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Pennsylvania,Washington,Id:2570,"45,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Pennsylvania,Erie,Id:1778,"200,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Pennsylvania,Allegheny,Id:1762,"48,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,South Carolina,Lexington,Id:1824,"40,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,South Carolina,Spartanburg,Id:2611,"93,014",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,South Carolina,Spartanburg,Id:2610,"6,667",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,South Carolina,Spartanburg,Id:2630,"3,200",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,South Carolina,Greenville,Id:1818,"143,531",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,South Carolina,Spartanburg,Id:2660,"4,500",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1892,"109,414",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Gaines,Id:2464,"7,500",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1875,"16,030",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1873,"37,359",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Presidio,Id:2696,"5,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1878,"9,375",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1876,"4,170",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1884,"4,010",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Travis,Id:2609,"238,461",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1904,"20,758",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,"Montgomery, Harris",Id:1882,"52,055",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1885,"12,892",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,"Fort Bend, Harris",Id:1865,"28,742",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1879,"16,804",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1888,"95,600",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1891,"109,414",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1896,"59,188",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1901,"85,129",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1877,"40,689",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1886,"33,102",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1874,"3,825",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1903,"3,623",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1899,"33,645",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Hidalgo,Id:2277,"70,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1890,"20,608",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Victoria,Id:2298,"65,800",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1880,"22,275",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1893,"32,485",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1889,"5,497",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Texas,Harris,Id:1883,"20,161",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Utah,Id:1953,"12,510",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Salt Lake,Id:1940,"254,971",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Uintah,Id:1948,"29,513",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Salt Lake,Id:1937,"89,507",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Utah,Id:1954,"35,840",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Carbon,Id:1927,"17,312",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Tooele,Id:1946,"36,244",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Box Elder,Id:1923,"21,443",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,"Utah, Salt Lake",Id:1938,"94,484",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Salt Lake,Id:1939,"209,645",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Utah,Id:1951,"21,231",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Wasatch,Id:1956,"19,936",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Summit,Id:1944,"24,738",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Davis,Id:1928,"64,533",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Utah,Id:1949,"112,901",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Washington,Id:1959,"24,970",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Davis,Id:1930,"84,981",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Washington,Id:1960,"92,047",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Utah,Id:1955,"253,112",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Utah,Id:1952,"53,313",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Wasatch,Id:1957,"5,806",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Duchesne,Id:1932,"6,790",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Cache,Id:1926,"94,005",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Box Elder,Id:1924,"12,451",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,"Weber, Davis",Id:1929,"228,700",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Iron,Id:1934,"32,451",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,"San Juan, Grand",Id:1933,"9,896",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Cache,Id:1925,"9,095",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Summit,Id:1945,"7,096",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,Davis,Id:1931,"21,872",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Utah,"Weber, Davis",Id:1961,"208,850",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Virginia,"Bedford City, Botetourt, Roanoke, Bland, Salem, Roanoke City, Bedford",Id:2027,"300,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Virginia,"Frederick, Winchester City",Id:1987,"60,000",CDC_Verily,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Virginia,Loudoun,Id:1995,"300,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Virginia,"Portsmouth City, Isle Of Wight, Chesapeake City, Suffolk City",Id:2028,"197,608",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Wisconsin,"Dodge, Washington",Id:2170,"16,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Wyoming,Laramie,Id:2181,"74,600",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Wyoming,Sheridan,Id:2182,"19,000","CDC_Verily, State_Territory",No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Wyoming,Sweetwater,Id:2183,"12,000",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Wyoming,Carbon,Id:2180,"8,298",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alabama,Lee,Id:9,"70,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alabama,Jefferson,Id:4,"30,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alabama,Jefferson,Id:8,"95,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alabama,Jefferson,Id:6,"225,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alabama,Jefferson,Id:5,"77,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alabama,Jefferson,Id:7,"200,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alaska,Fairbanks North Star,Id:2340,"92,000","CDC_Verily, State_Territory",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alaska,Juneau,Id:16,"22,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alaska,Juneau,Id:15,"12,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alaska,Anchorage,Id:13,"220,000","State_Territory, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alaska,Anchorage,Id:14,"23,000","CDC_Verily, State_Territory",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Greene,Id:71,"25,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Benton,Id:68,"19,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Boone,Id:69,"14,000","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Pulaski,Id:81,"23,812",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Pulaski,Id:80,"30,377",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Pulaski,Id:83,"18,463",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Arkansas,Garland,Id:70,"38,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Luis Obispo,Id:162,"14,465",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Alameda,Id:93,"60,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Sonoma,Id:184,"237,800","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Riverside,Id:138,"350,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Napa,Id:130,"83,300",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Clara,Id:176,"1,500,000",WastewaterSCAN,No Detection,0,7,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
