FullGeoName,Pathogen Target,State/Territory,Counties Served,Location,Population Served,Source,Detection Category,Detection Count,Sample Count,Time Period,Table Time Period,Week End,Date Updated
,Measles virus,California,Sacramento,Id:140,"1,480,000",WastewaterSCAN,Detection,1,7,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Clara,Id:175,"236,000",WastewaterSCAN,Detection,1,7,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Merced,Id:125,"91,000",WastewaterSCAN,Detection,2,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Alaska,Bethel,Id:2689,"6,500",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Routt,Id:253,"43,741",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Cook,Id:415,"3,816",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Louisiana,Orleans,Id:655,"50,591","CDC_Verily, WastewaterSCAN",No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Massachusetts,Middlesex,Id:741,"228,285",CDC_Verily,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Missouri,"Greene, Christian",Id:1067,"151,966",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Mecklenburg,Id:1478,"182,501",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Mecklenburg,Id:1481,"82,158",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,North Carolina,Mcdowell,Id:1475,"8,459",State_Territory,No Data,0,0,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
